"subject","item","region","measure","condition","rawdata","group_G"
"Native 24",36,2,"fp",1,176,"Native"
"Native 24",26,2,"fp",3,198,"Native"
"Native 24",32,2,"fp",1,0,"Native"
"Native 24",28,2,"fp",1,250,"Native"
"Native 24",35,2,"fp",4,344,"Native"
"Native 24",29,2,"fp",2,169,"Native"
"Native 24",42,2,"fp",3,216,"Native"
"Native 24",38,2,"fp",3,102,"Native"
"Native 24",46,2,"fp",3,0,"Native"
"Native 24",37,2,"fp",2,196,"Native"
"Native 24",30,2,"fp",3,182,"Native"
"Native 24",45,2,"fp",2,281,"Native"
"Native 24",25,2,"fp",2,222,"Native"
"Native 24",40,2,"fp",1,199,"Native"
"Native 24",47,2,"fp",4,248,"Native"
"Native 24",41,2,"fp",2,182,"Native"
"Native 24",43,2,"fp",4,199,"Native"
"Native 24",44,2,"fp",1,160,"Native"
"Native 25",46,2,"fp",4,0,"Native"
"Native 25",43,2,"fp",1,362,"Native"
"Native 25",28,2,"fp",2,288,"Native"
"Native 25",30,2,"fp",4,172,"Native"
"Native 25",41,2,"fp",3,0,"Native"
"Native 25",25,2,"fp",3,238,"Native"
"Native 25",42,2,"fp",4,0,"Native"
"Native 25",37,2,"fp",3,0,"Native"
"Native 25",47,2,"fp",1,0,"Native"
"Native 25",35,2,"fp",1,0,"Native"
"Native 25",44,2,"fp",2,0,"Native"
"Native 25",45,2,"fp",3,0,"Native"
"Native 25",31,2,"fp",1,219,"Native"
"Native 25",26,2,"fp",4,223,"Native"
"Native 25",48,2,"fp",2,0,"Native"
"Native 25",34,2,"fp",4,340,"Native"
"Native 25",40,2,"fp",2,0,"Native"
"Native 25",39,2,"fp",1,0,"Native"
"Native 25",27,2,"fp",1,0,"Native"
"Native 25",38,2,"fp",4,152,"Native"
"Native 25",32,2,"fp",2,0,"Native"
"Native 25",29,2,"fp",3,242,"Native"
"Native 25",33,2,"fp",3,299,"Native"
"Native 25",36,2,"fp",2,247,"Native"
"Native 26",37,2,"fp",4,193,"Native"
